article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
174258143,The Cyclone Season. Need of the North. A Meteorological Station.,840,"The Telegraph (Brisbane, Qld. : 1872 - 1947)",5,1914-01-20,Article,860,N,0,http://nla.gov.au/nla.news-article174258143,http://trove.nla.gov.au/newspaper/page/18889536
72923006,FAITHFUL WEATHER PREDICTION.,225,The Horsham Times (Vic. : 1882 - 1954),6,1918-03-22,Article,252,N,0,http://nla.gov.au/nla.news-article72923006,http://trove.nla.gov.au/newspaper/page/7092604
56993458,NEWS OF THE DAY. ONLY SCATTERED SHOWERS.,89,"The Register (Adelaide, SA : 1901 - 1929)",14,1913-06-28,Article,241,N,0,http://nla.gov.au/nla.news-article56993458,http://trove.nla.gov.au/newspaper/page/4482839
147179004,Northern Meteorological Station. Public Meeting in Cairns. Federal Government to be Again Approached.,733,"The Northern Herald (Cairns, Qld. : 1913 - 1939)",44,1914-02-06,Article,1953,N,0,http://nla.gov.au/nla.news-article147179004,http://trove.nla.gov.au/newspaper/page/17936687
179503416,NORTH METEOROLOGY AFFAIR. Straight Criticism.,840,"The Telegraph (Brisbane, Qld. : 1872 - 1947)",2,1914-02-18,Article,421,N,0,http://nla.gov.au/nla.news-article179503416,http://trove.nla.gov.au/newspaper/page/18888841
5333079,"THE KOOMBANA. STILL NO NEWS. Fremantle, April 1.",34,"The Advertiser (Adelaide, SA : 1889 - 1931)",10,1912-04-02,Article,417,N,0,http://nla.gov.au/nla.news-article5333079,http://trove.nla.gov.au/newspaper/page/950793
147175608,MR HUNT CR[?]ISED.,733,"The Northern Herald (Cairns, Qld. : 1913 - 1939)",3,1913-10-17,Article,1093,N,0,http://nla.gov.au/nla.news-article147175608,http://trove.nla.gov.au/newspaper/page/17935839
221938804,HEART OF THE CYCLONE A Terrifying Experience TOWNS PUSHED OVER,1180,"The Sun (Sydney, NSW : 1910 - 1954)",5 S,1918-01-25,Article,682,N,0,http://nla.gov.au/nla.news-article221938804,http://trove.nla.gov.au/newspaper/page/24410496
39947705,"THE POST. TUESDAY, OCTOBER 14, 1913. MR HUNT CRITICISED.",61,Cairns Post (Qld. : 1909 - 1954),4,1913-10-14,Article,1083,N,0,http://nla.gov.au/nla.news-article39947705,http://trove.nla.gov.au/newspaper/page/3877124
147187051,ANOTHER WARNING.,733,"The Northern Herald (Cairns, Qld. : 1913 - 1939)",3,1914-01-02,Article,792,N,2,http://nla.gov.au/nla.news-article147187051,http://trove.nla.gov.au/newspaper/page/17936400
